model,approach,training_hours,phase,dataset,split,n,wer,wer_ci_low,wer_ci_high,cer,cer_ci_low,cer_ci_high,timing_n_samples,total_inference_sec,mean_inference_sec_per_utt,median_inference_sec_per_utt,mean_audio_duration_sec,mean_rtf,median_rtf,speed_x_realtime,train_wall_clock_hours,train_samples,actual_train_hours,best_wer_periodic_eval,best_step,global_step_at_end,source_file
Qwen2-Audio,end-to-end,30,fine-tuned 30h,moulsot_test,full,1962,0.4758265492606745,0.4660749059900827,0.4861047423312851,0.1823433943390256,0.1761155697563302,0.18958723328388047,1993,2174.5107805440202,1.085372609169747,1.1953740072785877,6.377748620170598,0.258878069308026,0.16323830218849858,3.8628223807175814,8.886277908285459,23588,30.00122777777774,0.3973172987974098,2200,2800,/Users/mac/Downloads/results 3/final_results_30h.json
Qwen2-Audio,end-to-end,30,fine-tuned 30h,moulsot_test,code_switched,194,0.513625463265751,0.47615258839724145,0.5670676678433354,0.231919207983778,0.20388532242688545,0.2730988172174305,1993,2174.5107805440202,1.085372609169747,1.1953740072785877,6.377748620170598,0.258878069308026,0.16323830218849858,3.8628223807175814,8.886277908285459,23588,30.00122777777774,0.3973172987974098,2200,2800,/Users/mac/Downloads/results 3/final_results_30h.json
Qwen2-Audio,end-to-end,30,fine-tuned 30h,moulsot_test,monolingual,1768,0.4703270212833444,0.46164834931609233,0.4788784214495189,0.17504259691896923,0.169558854035396,0.18079180385531443,1993,2174.5107805440202,1.085372609169747,1.1953740072785877,6.377748620170598,0.258878069308026,0.16323830218849858,3.8628223807175814,8.886277908285459,23588,30.00122777777774,0.3973172987974098,2200,2800,/Users/mac/Downloads/results 3/final_results_30h.json
Qwen2-Audio,end-to-end,30,fine-tuned 30h,casablanca_ood,full,500,0.6398275862068965,0.6217133349665569,0.6577123104273055,0.26610604332953247,0.25453219118648485,0.27808158879328304,500,376.05356705002487,0.7457505995640531,0.7128206469933502,3.5506542403628116,0.3106065551506606,0.22137416042256408,3.2195070690473586,8.886277908285459,23588,30.00122777777774,0.3973172987974098,2200,2800,/Users/mac/Downloads/results 3/final_results_30h.json
Qwen2-Audio,end-to-end,30,fine-tuned 30h,casablanca_ood,code_switched,0,,,,,,,500,376.05356705002487,0.7457505995640531,0.7128206469933502,3.5506542403628116,0.3106065551506606,0.22137416042256408,3.2195070690473586,8.886277908285459,23588,30.00122777777774,0.3973172987974098,2200,2800,/Users/mac/Downloads/results 3/final_results_30h.json
Qwen2-Audio,end-to-end,30,fine-tuned 30h,casablanca_ood,monolingual,500,0.6398275862068965,0.6217133349665569,0.6577123104273055,0.26610604332953247,0.25453219118648485,0.27808158879328304,500,376.05356705002487,0.7457505995640531,0.7128206469933502,3.5506542403628116,0.3106065551506606,0.22137416042256408,3.2195070690473586,8.886277908285459,23588,30.00122777777774,0.3973172987974098,2200,2800,/Users/mac/Downloads/results 3/final_results_30h.json
Whisper large-v3,cascaded,0,zero-shot greedy,moulsot_test,full,1962,0.8485351941075483,0.8120131235632068,0.8897437259231814,0.480468311404628,0.45419499252139267,0.5106061472780009,1993,8230.087554689,4.119252690966375,3.9413247304999004,6.377748620170598,1.0220207281477618,0.7488986423333396,0.9784537362684702,,,,,,,/Users/mac/Downloads/zero_shot_results_whisper_lv3.json
Whisper large-v3,cascaded,0,zero-shot greedy,moulsot_test,code_switched,194,1.092435142794855,0.91478404537473,1.3214024582055237,0.6919009184525466,0.5825549340631742,0.8265824648872152,1993,8230.087554689,4.119252690966375,3.9413247304999004,6.377748620170598,1.0220207281477618,0.7488986423333396,0.9784537362684702,,,,,,,/Users/mac/Downloads/zero_shot_results_whisper_lv3.json
Whisper large-v3,cascaded,0,zero-shot greedy,moulsot_test,monolingual,1768,0.8130491324896121,0.7805288452342874,0.8494547404455958,0.44933162360132795,0.4213474939640362,0.4781544011271446,1993,8230.087554689,4.119252690966375,3.9413247304999004,6.377748620170598,1.0220207281477618,0.7488986423333396,0.9784537362684702,,,,,,,/Users/mac/Downloads/zero_shot_results_whisper_lv3.json
Whisper large-v3,cascaded,0,zero-shot greedy,casablanca_ood,full,500,0.9662068965517241,0.8735648458707305,1.0843685512067207,0.5514894526795895,0.48207500144768084,0.6413155358281942,500,1575.9917637340004,3.1402426646520034,2.608863030750399,3.5506542403628116,1.3069118224451122,0.9306846222945391,0.7651625632470688,,,,,,,/Users/mac/Downloads/zero_shot_results_whisper_lv3.json
